instance,size,method,seed,feasible,objective_value,runtime_seconds,vehicle_count,capacity_violations,time_window_violations,energy_violations,coverage_violations,charging_count,charging_time,first_infeasible_step,total_violation_count,raw_json
week03_generated_50_seed_2014,50,OR_TOOLS_VRPTW,2014,False,653.9722577041131,0.016704749999917112,3,0,0,32,0,0,0.0,route 1 leg 6 C38->C20: battery depleted,32,results/week03/raw/week03_generated_50_seed_2014_or_tools_vrptw.json
week03_generated_50_seed_2014,50,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,653.9722577041131,0.016794707989902236,3,0,0,32,0,0,0.0,route 1 leg 6 C38->C20: battery depleted,32,results/week03/raw/week03_generated_50_seed_2014_or_tools_vrptw_charging_repair.json
week03_generated_50_seed_2014,50,GA_VRPTW,2014,False,3784.51456099187,3.658892167004524,42,0,0,27,0,0,0.0,route 1 leg 2 C23->D0: battery depleted,27,results/week03/raw/week03_generated_50_seed_2014_ga_vrptw.json
week03_generated_50_seed_2014,50,GA_VRPTW_CHARGING_REPAIR,2014,False,4032.5546018330833,3.6589942919963505,42,0,0,3,0,24,155.5582937896656,route 4 leg 2 C48->D0: battery depleted,3,results/week03/raw/week03_generated_50_seed_2014_ga_vrptw_charging_repair.json
week03_generated_50_seed_2015,50,OR_TOOLS_VRPTW,2015,False,714.4967064087914,0.022878290998050943,3,0,0,32,0,0,0.0,route 1 leg 7 C42->C26: battery depleted,32,results/week03/raw/week03_generated_50_seed_2015_or_tools_vrptw.json
week03_generated_50_seed_2015,50,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,714.4967064087914,0.02297020699188579,3,0,0,32,0,0,0.0,route 1 leg 7 C42->C26: battery depleted,32,results/week03/raw/week03_generated_50_seed_2015_or_tools_vrptw_charging_repair.json
week03_generated_50_seed_2015,50,GA_VRPTW,2015,False,3480.875236565847,3.597130041991477,40,0,0,24,0,0,0.0,route 1 leg 2 C50->D0: battery depleted,24,results/week03/raw/week03_generated_50_seed_2015_ga_vrptw.json
week03_generated_50_seed_2015,50,GA_VRPTW_CHARGING_REPAIR,2015,False,3678.1804686964606,3.5972197509836406,40,0,0,2,0,22,143.03067968891028,route 1 leg 2 C50->D0: battery depleted,2,results/week03/raw/week03_generated_50_seed_2015_ga_vrptw_charging_repair.json
week03_generated_50_seed_2016,50,OR_TOOLS_VRPTW,2016,False,748.8720451623362,0.020761749998200685,4,0,0,32,0,0,0.0,route 1 leg 7 C11->C18: battery depleted,32,results/week03/raw/week03_generated_50_seed_2016_or_tools_vrptw.json
week03_generated_50_seed_2016,50,OR_TOOLS_VRPTW_CHARGING_REPAIR,2016,False,767.2869311377054,0.02082712500123307,4,0,0,20,0,2,15.839897554983082,route 1 leg 7 C11->C18: battery depleted,20,results/week03/raw/week03_generated_50_seed_2016_or_tools_vrptw_charging_repair.json
week03_generated_50_seed_2016,50,GA_VRPTW,2016,False,3723.065542929904,3.645475625002291,41,0,0,29,0,0,0.0,route 1 leg 2 C22->D0: battery depleted,29,results/week03/raw/week03_generated_50_seed_2016_ga_vrptw.json
week03_generated_50_seed_2016,50,GA_VRPTW_CHARGING_REPAIR,2016,False,3975.360957563483,3.6455847500037635,41,0,0,3,0,26,172.72952730637274,route 11 leg 2 C39->D0: battery depleted,3,results/week03/raw/week03_generated_50_seed_2016_ga_vrptw_charging_repair.json
week03_generated_100_seed_2014,100,OR_TOOLS_VRPTW,2014,False,1197.687045877769,0.09036129200831056,7,0,0,56,0,0,0.0,route 1 leg 8 C4->C21: battery depleted,56,results/week03/raw/week03_generated_100_seed_2014_or_tools_vrptw.json
week03_generated_100_seed_2014,100,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,1197.687045877769,0.09058320900658146,7,0,0,56,0,0,0.0,route 1 leg 8 C4->C21: battery depleted,56,results/week03/raw/week03_generated_100_seed_2014_or_tools_vrptw_charging_repair.json
week03_generated_100_seed_2014,100,GA_VRPTW,2014,False,6983.426144864697,8.534471915991162,82,0,0,47,0,0,0.0,route 1 leg 2 C3->D0: battery depleted,47,results/week03/raw/week03_generated_100_seed_2014_ga_vrptw.json
week03_generated_100_seed_2014,100,GA_VRPTW_CHARGING_REPAIR,2014,False,7294.001952284976,8.534705208003288,82,0,0,3,0,44,284.809722394528,route 24 leg 2 C85->D0: battery depleted,3,results/week03/raw/week03_generated_100_seed_2014_ga_vrptw_charging_repair.json
week03_generated_100_seed_2015,100,OR_TOOLS_VRPTW,2015,False,1092.2448373846646,0.07046012500359211,6,0,0,59,0,0,0.0,route 1 leg 7 C22->C56: battery depleted,59,results/week03/raw/week03_generated_100_seed_2015_or_tools_vrptw.json
week03_generated_100_seed_2015,100,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,1092.2448373846646,0.07068258299841546,6,0,0,59,0,0,0.0,route 1 leg 7 C22->C56: battery depleted,59,results/week03/raw/week03_generated_100_seed_2015_or_tools_vrptw_charging_repair.json
week03_generated_100_seed_2015,100,GA_VRPTW,2015,False,7158.187698472589,8.62418070800777,84,0,0,50,0,0,0.0,route 2 leg 2 C77->D0: battery depleted,50,results/week03/raw/week03_generated_100_seed_2015_ga_vrptw.json
week03_generated_100_seed_2015,100,GA_VRPTW_CHARGING_REPAIR,2015,False,7561.130107146115,8.624426208014484,84,0,0,8,0,42,269.65937153587464,route 6 leg 2 C45->D0: battery depleted,8,results/week03/raw/week03_generated_100_seed_2015_ga_vrptw_charging_repair.json
week03_generated_100_seed_2016,100,OR_TOOLS_VRPTW,2016,False,1079.1293975498672,0.07879795800545253,6,0,0,56,0,0,0.0,route 1 leg 5 C85->C30: battery depleted,56,results/week03/raw/week03_generated_100_seed_2016_or_tools_vrptw.json
week03_generated_100_seed_2016,100,OR_TOOLS_VRPTW_CHARGING_REPAIR,2016,False,1079.1293975498672,0.07901274900359567,6,0,0,56,0,0,0.0,route 1 leg 5 C85->C30: battery depleted,56,results/week03/raw/week03_generated_100_seed_2016_or_tools_vrptw_charging_repair.json
week03_generated_100_seed_2016,100,GA_VRPTW,2016,False,7019.213321921701,8.707929374999367,81,0,0,49,0,0,0.0,route 1 leg 2 C59->D0: battery depleted,49,results/week03/raw/week03_generated_100_seed_2016_ga_vrptw.json
week03_generated_100_seed_2016,100,GA_VRPTW_CHARGING_REPAIR,2016,False,7261.791525823171,8.70816762499453,81,0,0,9,0,40,254.2555910551004,route 5 leg 2 C10->D0: battery depleted,9,results/week03/raw/week03_generated_100_seed_2016_ga_vrptw_charging_repair.json
week03_generated_200_seed_2014,200,OR_TOOLS_VRPTW,2014,False,1816.251843690314,0.42694408299576025,13,0,0,87,0,0,0.0,route 1 leg 11 C51->C43: battery depleted,87,results/week03/raw/week03_generated_200_seed_2014_or_tools_vrptw.json
week03_generated_200_seed_2014,200,OR_TOOLS_VRPTW_CHARGING_REPAIR,2014,False,1832.2339908167007,0.42746379200252704,13,0,0,81,0,1,7.691543568650442,route 1 leg 11 C51->C43: battery depleted,81,results/week03/raw/week03_generated_200_seed_2014_or_tools_vrptw_charging_repair.json
week03_generated_200_seed_2014,200,GA_VRPTW,2014,False,14050.126178948081,23.459548458005884,168,0,0,100,0,0,0.0,route 1 leg 2 C107->D0: battery depleted,100,results/week03/raw/week03_generated_200_seed_2014_ga_vrptw.json
week03_generated_200_seed_2014,200,GA_VRPTW_CHARGING_REPAIR,2014,False,14902.678084047604,23.46027741600119,168,0,0,8,0,92,604.0828527838827,route 9 leg 2 C61->D0: battery depleted,8,results/week03/raw/week03_generated_200_seed_2014_ga_vrptw_charging_repair.json
week03_generated_200_seed_2015,200,OR_TOOLS_VRPTW,2015,False,1827.1139195708981,0.43814033300441224,13,0,0,78,0,0,0.0,route 1 leg 9 C147->C121: battery depleted,78,results/week03/raw/week03_generated_200_seed_2015_or_tools_vrptw.json
week03_generated_200_seed_2015,200,OR_TOOLS_VRPTW_CHARGING_REPAIR,2015,False,1827.1139195708981,0.4386835000041174,13,0,0,78,0,0,0.0,route 1 leg 9 C147->C121: battery depleted,78,results/week03/raw/week03_generated_200_seed_2015_or_tools_vrptw_charging_repair.json
week03_generated_200_seed_2015,200,GA_VRPTW,2015,False,15171.899395992943,23.614765624995925,177,0,0,108,0,0,0.0,route 3 leg 2 C2->D0: battery depleted,108,results/week03/raw/week03_generated_200_seed_2015_ga_vrptw.json
week03_generated_200_seed_2015,200,GA_VRPTW_CHARGING_REPAIR,2015,False,16151.96318495256,23.615580375000718,177,0,0,14,0,94,628.6008655496034,route 56 leg 2 C135->D0: battery depleted,14,results/week03/raw/week03_generated_200_seed_2015_ga_vrptw_charging_repair.json
week03_generated_200_seed_2016,200,OR_TOOLS_VRPTW,2016,False,1921.9294461990874,0.3518098749918863,13,0,0,86,0,0,0.0,route 1 leg 8 C83->C111: battery depleted,86,results/week03/raw/week03_generated_200_seed_2016_or_tools_vrptw.json
week03_generated_200_seed_2016,200,OR_TOOLS_VRPTW_CHARGING_REPAIR,2016,False,1921.9294461990874,0.3523638329934329,13,0,0,86,0,0,0.0,route 1 leg 8 C83->C111: battery depleted,86,results/week03/raw/week03_generated_200_seed_2016_or_tools_vrptw_charging_repair.json
week03_generated_200_seed_2016,200,GA_VRPTW,2016,False,14958.993234773834,23.588386749994243,175,0,0,110,0,0,0.0,route 1 leg 2 C110->D0: battery depleted,110,results/week03/raw/week03_generated_200_seed_2016_ga_vrptw.json
week03_generated_200_seed_2016,200,GA_VRPTW_CHARGING_REPAIR,2016,False,15904.293179373122,23.589285165988258,175,0,0,15,0,95,623.1439663747867,route 14 leg 2 C106->D0: battery depleted,15,results/week03/raw/week03_generated_200_seed_2016_ga_vrptw_charging_repair.json
